"","tmp.pclas","tmp.survived","tmp.age"
"1",1,1,29
"2",1,1,0.9167
"3",1,0,2
"4",1,0,30
"5",1,0,25
"6",1,1,48
"7",1,1,63
"8",1,0,39
"9",1,1,53
"10",1,0,71
"11",1,0,47
"12",1,1,18
"13",1,1,24
"14",1,1,26
"15",1,1,80
"16",1,0,44.6140117054951
"17",1,0,24
"18",1,1,50
"19",1,1,32
"20",1,0,36
"21",1,1,37
"22",1,1,47
"23",1,1,26
"24",1,1,42
"25",1,1,29
"26",1,0,25
"27",1,1,25
"28",1,1,19
"29",1,1,35
"30",1,1,28
"31",1,0,45
"32",1,1,40
"33",1,1,30
"34",1,1,58
"35",1,0,42
"36",1,1,45
"37",1,1,22
"38",1,1,41.7241549145551
"39",1,0,41
"40",1,0,48
"41",1,0,67.4096934890067
"42",1,1,44
"43",1,1,59
"44",1,1,60
"45",1,1,41
"46",1,0,45
"47",1,0,44.9141943671993
"48",1,1,42
"49",1,1,53
"50",1,1,36
"51",1,1,58
"52",1,0,33
"53",1,0,28
"54",1,0,17
"55",1,1,11
"56",1,1,14
"57",1,1,36
"58",1,1,36
"59",1,0,49
"60",1,1,13.7865641075135
"61",1,0,36
"62",1,1,76
"63",1,0,46
"64",1,1,47
"65",1,1,27
"66",1,1,33
"67",1,1,36
"68",1,1,30
"69",1,1,45
"70",1,1,24.7715196277739
"71",1,0,49.4362832132985
"72",1,0,27
"73",1,1,26
"74",1,1,22
"75",1,0,69.459085652429
"76",1,0,47
"77",1,1,39
"78",1,0,37
"79",1,1,64
"80",1,1,55
"81",1,0,50.9564192483309
"82",1,0,70
"83",1,1,36
"84",1,1,64
"85",1,0,39
"86",1,1,38
"87",1,1,51
"88",1,1,27
"89",1,1,33
"90",1,0,31
"91",1,1,27
"92",1,1,31
"93",1,1,17
"94",1,1,53
"95",1,1,4
"96",1,1,54
"97",1,0,50
"98",1,1,27
"99",1,1,48
"100",1,1,48
"101",1,1,49
"102",1,0,39
"103",1,1,23
"104",1,1,38
"105",1,1,54
"106",1,0,36
"107",1,0,50.3583557765344
"108",1,1,20.4045071372103
"109",1,1,37.7761605890961
"110",1,1,36
"111",1,0,30
"112",1,1,24
"113",1,1,28
"114",1,1,23
"115",1,0,19
"116",1,0,64
"117",1,1,60
"118",1,1,30
"119",1,0,25.8377524333108
"120",1,1,50
"121",1,1,43
"122",1,1,49.2802604454303
"123",1,1,22
"124",1,1,60
"125",1,1,48
"126",1,0,37.0792441639792
"127",1,0,37
"128",1,1,35
"129",1,0,47
"130",1,1,35
"131",1,1,22
"132",1,1,45
"133",1,0,24
"134",1,1,49
"135",1,1,45.2527649887256
"136",1,0,71
"137",1,1,53
"138",1,1,19
"139",1,0,38
"140",1,1,58
"141",1,1,23
"142",1,1,45
"143",1,0,46
"144",1,1,25
"145",1,1,25
"146",1,1,48
"147",1,1,49
"148",1,0,55.4808625343321
"149",1,0,45
"150",1,1,35
"151",1,0,40
"152",1,1,27
"153",1,1,51.5120607674655
"154",1,1,24
"155",1,0,55
"156",1,1,52
"157",1,0,42
"158",1,0,32.3174287530445
"159",1,0,55
"160",1,1,16
"161",1,1,44
"162",1,1,51
"163",1,0,42
"164",1,1,35
"165",1,1,35
"166",1,1,38
"167",1,0,80.6253511491617
"168",1,1,35
"169",1,1,38
"170",1,0,50
"171",1,1,49
"172",1,0,46
"173",1,0,50
"174",1,0,32.5
"175",1,0,58
"176",1,0,41
"177",1,1,52.9608852382851
"178",1,1,42
"179",1,1,45
"180",1,0,35.1292318847534
"181",1,1,39
"182",1,1,49
"183",1,1,30
"184",1,1,35
"185",1,0,37.4646724339631
"186",1,0,42
"187",1,1,55
"188",1,1,16
"189",1,1,51
"190",1,0,29
"191",1,1,21
"192",1,0,30
"193",1,1,58
"194",1,1,15
"195",1,0,30
"196",1,1,16
"197",1,1,31.5497555075323
"198",1,0,19
"199",1,1,18
"200",1,1,24
"201",1,0,46
"202",1,0,54
"203",1,1,36
"204",1,0,28
"205",1,1,56.9158516083979
"206",1,0,65
"207",1,0,44
"208",1,1,33
"209",1,1,37
"210",1,1,30
"211",1,0,55
"212",1,0,47
"213",1,0,37
"214",1,1,31
"215",1,1,23
"216",1,0,58
"217",1,1,19
"218",1,0,64
"219",1,1,39
"220",1,1,0.553807114350938
"221",1,1,22
"222",1,0,65
"223",1,0,28.5
"224",1,0,41.5806280092455
"225",1,0,45.5
"226",1,0,23
"227",1,0,29
"228",1,1,22
"229",1,0,18
"230",1,1,17
"231",1,1,30
"232",1,1,52
"233",1,0,47
"234",1,1,56
"235",1,0,38
"236",1,1,30.5009631074208
"237",1,0,22
"238",1,0,43.2674076127859
"239",1,1,43
"240",1,0,31
"241",1,1,45
"242",1,0,57.7206093365329
"243",1,1,33
"244",1,0,46
